Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,3.0,Graduate,No,5840,749,194.0,360.0,1.0,Rural,Y
Male,Yes,2.0,Not Graduate,No,4670,945,141.0,360.0,1.0,Rural,Y
Female,Yes,1.0,Graduate,No,3811,1355,346.0,360.0,1.0,Semiurban,N
Male,Yes,1.0,Not Graduate,No,7730,851,139.0,240.0,0.0,Semiurban,N
Male,No,2.0,Graduate,No,8717,1878,158.0,240.0,0.0,Urban,N
Male,Yes,0.0,Graduate,No,4671,1202,206.0,120.0,1.0,Urban,N
Male,Yes,0.0,Graduate,Yes,10845,1868,167.0,360.0,1.0,Rural,Y
Female,Yes,1.0,Graduate,No,7442,1993,67.0,360.0,0.0,Rural,Y
Male,No,0.0,Graduate,No,5809,2794,116.0,240.0,1.0,Semiurban,Y
Female,No,0.0,Not Graduate,Yes,6473,1040,85.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,3409,562,163.0,300.0,1.0,Urban,Y
,No,1.0,Graduate,,7691,3169,148.0,180.0,1.0,Urban,Y
Male,Yes,2.0,Not Graduate,No,3520,256,200.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,Yes,4392,6006,214.0,180.0,1.0,Semiurban,Y
Female,Yes,3.0,Graduate,Yes,5413,811,85.0,300.0,0.0,Rural,Y
Female,Yes,1.0,Not Graduate,No,12064,1212,211.0,300.0,1.0,Urban,N
Female,Yes,2.0,Graduate,No,6240,486,228.0,360.0,1.0,Semiurban,Y
Female,No,1.0,Graduate,No,3691,1441,75.0,360.0,0.0,Urban,N
Male,No,2.0,Not Graduate,No,6484,846,158.0,360.0,1.0,Rural,Y
Female,No,,Graduate,No,7243,501,249.0,360.0,1.0,Rural,Y
Male,Yes,2.0,Graduate,No,9355,399,116.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,5537,699,130.0,,,Rural,Y
Male,No,2.0,Not Graduate,No,3959,2142,157.0,360.0,1.0,Semiurban,Y
Male,Yes,3.0,Not Graduate,No,13504,1889,14.0,360.0,1.0,Urban,Y
,Yes,,Graduate,No,6491,592,140.0,360.0,1.0,Semiurban,Y
Male,Yes,,Graduate,No,3702,1004,145.0,360.0,1.0,Urban,Y
Female,No,2.0,Graduate,,5514,2500,179.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,4393,1034,182.0,300.0,1.0,Rural,Y
Male,Yes,2.0,Graduate,No,9608,3224,128.0,360.0,1.0,Rural,Y
Male,No,0.0,Not Graduate,Yes,7212,5083,289.0,240.0,1.0,Urban,N
Male,Yes,0.0,Graduate,No,4827,706,85.0,360.0,1.0,Urban,N
Female,Yes,3.0,Graduate,No,8720,784,197.0,300.0,1.0,Urban,Y
Male,Yes,1.0,Graduate,No,5310,3547,31.0,,1.0,Urban,Y
Female,Yes,2.0,Graduate,No,5456,1020,135.0,360.0,1.0,Urban,N
Female,No,0.0,Not Graduate,No,3906,2618,,300.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,3891,1527,140.0,360.0,0.0,Semiurban,N
Male,Yes,1.0,Graduate,No,13093,1128,166.0,360.0,,Rural,N
Female,No,1.0,Graduate,No,8536,2065,110.0,360.0,1.0,Urban,Y
Female,No,1.0,Graduate,No,2093,3578,133.0,300.0,1.0,Urban,Y
Female,No,1.0,Graduate,No,3479,2903,189.0,240.0,1.0,Urban,Y
Female,Yes,0.0,Graduate,No,3130,1267,12.0,300.0,0.0,Urban,Y
Male,Yes,0.0,Graduate,No,5756,1559,100.0,360.0,1.0,Urban,Y
Male,No,2.0,Graduate,No,4591,2632,252.0,360.0,0.0,Urban,N
Male,No,0.0,Graduate,No,10465,1628,66.0,360.0,1.0,Semiurban,Y
Female,Yes,1.0,Graduate,No,4795,3926,91.0,360.0,1.0,Rural,Y
Male,Yes,0.0,Not Graduate,Yes,12484,122,37.0,360.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,5385,740,101.0,360.0,1.0,Semiurban,Y
Male,No,2.0,Graduate,Yes,13711,1948,124.0,180.0,0.0,Urban,N
Male,Yes,0.0,Graduate,No,5091,921,,180.0,1.0,Rural,Y
Male,Yes,0.0,Graduate,No,5138,3656,161.0,300.0,1.0,Urban,Y
Female,Yes,0.0,Not Graduate,No,8452,783,,180.0,1.0,Urban,Y
Male,No,1.0,Graduate,No,7904,1440,,360.0,1.0,Urban,Y
Female,No,2.0,Graduate,Yes,2872,696,91.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,5820,1235,81.0,360.0,1.0,Semiurban,Y
Male,No,2.0,Graduate,No,4571,240,33.0,360.0,,Rural,Y
Female,No,0.0,Not Graduate,No,4425,379,65.0,360.0,1.0,Rural,Y
Female,Yes,0.0,Graduate,No,5807,4903,105.0,360.0,1.0,Urban,Y
Male,Yes,3.0,Graduate,,4885,1350,114.0,180.0,1.0,Semiurban,Y
Female,Yes,,Graduate,No,6087,990,187.0,300.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,3402,487,258.0,300.0,0.0,Rural,N
Male,Yes,0.0,Graduate,Yes,2537,568,112.0,240.0,,Semiurban,N
Male,No,0.0,Not Graduate,No,8598,4535,200.0,360.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,9193,1415,103.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,No,8358,2846,77.0,,0.0,Semiurban,Y
Male,No,1.0,Graduate,No,5689,825,182.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,4711,4107,102.0,360.0,1.0,Urban,N
Male,Yes,1.0,Graduate,No,4145,878,83.0,120.0,0.0,Semiurban,Y
Male,No,0.0,Not Graduate,Yes,3781,536,75.0,300.0,1.0,Rural,Y
Female,No,0.0,Graduate,No,5388,1827,47.0,360.0,,Semiurban,Y
Male,Yes,1.0,Graduate,No,9091,324,133.0,360.0,1.0,Rural,N
Male,No,3.0,Graduate,No,3979,248,93.0,300.0,1.0,Urban,Y
Female,No,0.0,Graduate,No,9098,3659,,300.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,2605,693,292.0,,1.0,Urban,N
Male,No,1.0,Not Graduate,No,6231,2084,75.0,180.0,1.0,Rural,Y
Male,Yes,1.0,Not Graduate,No,6820,4653,57.0,360.0,0.0,Urban,Y
Male,Yes,1.0,Graduate,No,4355,1379,262.0,180.0,1.0,Semiurban,N
Female,Yes,0.0,Not Graduate,No,3294,2034,140.0,300.0,1.0,Urban,Y
Female,No,0.0,Graduate,No,8092,244,137.0,120.0,1.0,Semiurban,Y
Male,No,1.0,Graduate,No,5709,636,153.0,360.0,1.0,Rural,Y
,Yes,0.0,Graduate,No,15592,4067,222.0,120.0,1.0,Urban,Y
Female,Yes,3.0,Graduate,No,9154,995,221.0,300.0,1.0,Rural,Y
Male,No,0.0,Not Graduate,No,9186,390,178.0,360.0,1.0,Rural,Y
Female,Yes,0.0,Graduate,No,1402,1958,66.0,360.0,1.0,Urban,Y
Male,No,2.0,Graduate,No,4017,3281,41.0,300.0,1.0,Rural,Y
Female,No,0.0,Graduate,No,3103,880,66.0,300.0,1.0,Urban,Y
Female,Yes,1.0,Graduate,No,1874,1961,50.0,,1.0,Urban,Y
Male,No,1.0,Graduate,Yes,5501,2553,189.0,360.0,1.0,Semiurban,Y
Male,Yes,3.0,Not Graduate,No,8001,1144,90.0,300.0,0.0,Semiurban,N
Male,No,2.0,Not Graduate,No,3455,1012,176.0,120.0,0.0,Urban,N
Male,No,1.0,Not Graduate,Yes,1936,4538,129.0,120.0,1.0,Urban,Y
Female,No,1.0,Graduate,Yes,3597,425,89.0,360.0,0.0,Rural,N
Female,Yes,3.0,Graduate,No,5196,1477,75.0,360.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,5019,1224,86.0,360.0,0.0,Urban,Y
Male,Yes,0.0,Graduate,No,5627,1217,58.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,6757,2453,296.0,360.0,1.0,Urban,N
Male,Yes,0.0,Not Graduate,No,5563,2066,121.0,360.0,1.0,Urban,N
Male,Yes,1.0,Graduate,No,8201,1667,129.0,360.0,1.0,Semiurban,N
Male,Yes,1.0,Graduate,No,3487,250,127.0,360.0,1.0,Semiurban,Y
Female,No,1.0,Graduate,No,4921,587,186.0,300.0,1.0,Urban,Y
Male,No,0.0,Graduate,Yes,7257,1080,81.0,360.0,1.0,Rural,Y
Male,Yes,2.0,Graduate,No,6361,1433,,360.0,1.0,Urban,Y
,No,0.0,Not Graduate,No,11820,4033,108.0,360.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,3559,1405,106.0,240.0,1.0,Urban,Y
Female,No,1.0,Not Graduate,No,7316,2369,246.0,360.0,0.0,Semiurban,N
Female,No,0.0,Graduate,Yes,4120,1262,80.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,3904,2231,158.0,360.0,1.0,Semiurban,N
Male,No,0.0,Graduate,No,8908,1340,127.0,240.0,0.0,Semiurban,Y
,Yes,2.0,Not Graduate,No,5534,498,89.0,360.0,1.0,Urban,Y
Male,Yes,3.0,Not Graduate,No,6311,2025,171.0,240.0,1.0,Urban,Y
Male,No,1.0,Graduate,Yes,4272,1876,63.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,4391,334,,360.0,0.0,Urban,N
Male,Yes,0.0,Graduate,No,2511,1262,135.0,240.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,6085,1252,274.0,120.0,1.0,Semiurban,N
Male,No,2.0,Not Graduate,No,3320,796,261.0,360.0,1.0,Semiurban,N
Female,Yes,0.0,Graduate,No,5240,470,159.0,240.0,0.0,Rural,N
Male,Yes,0.0,Graduate,No,8197,1587,,360.0,1.0,Semiurban,Y
Male,No,2.0,Graduate,Yes,2153,3770,35.0,360.0,1.0,Rural,Y
Male,No,0.0,Graduate,No,17492,2165,201.0,300.0,1.0,Rural,Y
Female,Yes,0.0,Graduate,No,3865,287,216.0,360.0,1.0,Rural,N
Male,Yes,0.0,Graduate,No,5310,3570,158.0,300.0,1.0,Urban,Y
Female,Yes,1.0,Graduate,No,6308,3219,112.0,360.0,0.0,Rural,Y
Female,Yes,2.0,Graduate,No,3803,840,192.0,300.0,1.0,Rural,Y
Male,Yes,3.0,Graduate,No,4466,310,125.0,360.0,0.0,Urban,N
Female,No,1.0,Not Graduate,No,9038,870,117.0,360.0,1.0,Urban,Y
Male,No,1.0,Graduate,No,7800,925,50.0,360.0,,Rural,N
Male,No,0.0,Graduate,Yes,4970,337,187.0,180.0,1.0,Semiurban,N
Male,Yes,1.0,Graduate,No,5595,1567,137.0,300.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,5970,659,260.0,360.0,1.0,Rural,N
Male,Yes,1.0,Graduate,No,7172,413,92.0,360.0,,Urban,N
Female,No,0.0,Graduate,No,7403,1060,77.0,240.0,,Urban,N
Male,No,0.0,Graduate,Yes,7316,3696,215.0,300.0,1.0,Semiurban,N
Male,Yes,0.0,Not Graduate,No,4602,2479,238.0,,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,5883,1816,129.0,360.0,1.0,Rural,Y
Male,Yes,0.0,Graduate,No,8606,845,197.0,300.0,0.0,Semiurban,N
Female,No,0.0,Graduate,No,13488,341,108.0,300.0,1.0,Rural,Y
Male,Yes,3.0,Graduate,No,5809,479,111.0,240.0,0.0,Urban,N
Male,Yes,0.0,Graduate,No,4312,2375,159.0,360.0,1.0,Semiurban,Y
Male,No,1.0,Not Graduate,No,3768,654,110.0,240.0,1.0,Urban,Y
Male,Yes,2.0,Graduate,No,7341,1464,147.0,360.0,1.0,Urban,Y
Male,No,3.0,Graduate,No,2452,1832,135.0,240.0,1.0,Rural,Y
Female,Yes,1.0,Graduate,No,7375,268,67.0,360.0,1.0,Urban,Y
Male,No,2.0,Graduate,No,7433,1310,,360.0,0.0,Rural,Y
,No,0.0,Graduate,Yes,4386,1720,69.0,300.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,Yes,6245,4359,189.0,240.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,Yes,5047,1444,217.0,360.0,1.0,Urban,N
Male,Yes,,Graduate,No,2807,2294,118.0,360.0,1.0,Semiurban,Y
Female,Yes,,Graduate,Yes,7133,860,275.0,360.0,1.0,Urban,Y
Female,Yes,0.0,Not Graduate,No,6847,2710,,180.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,4551,386,147.0,360.0,1.0,Semiurban,Y
Female,No,1.0,Not Graduate,Yes,13391,1878,111.0,360.0,1.0,Urban,Y
Female,No,0.0,Not Graduate,No,5616,1496,207.0,360.0,1.0,Semiurban,Y
Male,No,1.0,Graduate,No,2045,3053,277.0,360.0,1.0,Semiurban,Y
Male,No,1.0,Graduate,No,8808,1837,153.0,360.0,1.0,Rural,Y
Male,No,2.0,Graduate,No,7902,1102,300.0,300.0,1.0,Urban,N
Male,Yes,2.0,Graduate,No,8319,2701,98.0,180.0,1.0,Urban,Y
Female,No,2.0,Graduate,No,3411,1817,180.0,360.0,1.0,Urban,N
Female,No,0.0,Not Graduate,No,6170,535,128.0,360.0,0.0,Semiurban,N
Male,Yes,2.0,Not Graduate,No,5573,1162,75.0,120.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,,5161,474,103.0,360.0,1.0,Rural,Y
Male,Yes,0.0,Graduate,No,9836,1712,216.0,360.0,1.0,Rural,N
Female,Yes,0.0,Graduate,No,5651,1857,121.0,240.0,1.0,Urban,Y
,No,0.0,Not Graduate,No,4626,3920,96.0,240.0,1.0,Semiurban,Y
Female,Yes,0.0,Graduate,No,4604,1142,242.0,360.0,0.0,Semiurban,N
Female,Yes,1.0,Graduate,Yes,3284,998,213.0,,,Rural,N
Male,No,,Graduate,No,5903,297,106.0,240.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,10174,1142,308.0,300.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,No,4803,1042,124.0,300.0,1.0,Rural,N
Female,Yes,,Graduate,No,6326,1421,154.0,360.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,5123,1017,135.0,360.0,1.0,Semiurban,Y
Male,No,0.0,Not Graduate,No,5379,1019,82.0,360.0,1.0,Rural,Y
Male,Yes,1.0,Graduate,Yes,8060,1418,119.0,360.0,1.0,Rural,Y
Female,No,1.0,Graduate,Yes,3263,1212,127.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,2578,1003,42.0,180.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,8814,995,150.0,240.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,4330,4723,200.0,360.0,0.0,Rural,N
Female,No,1.0,Graduate,No,4651,971,69.0,360.0,1.0,Rural,Y
Female,Yes,1.0,Graduate,Yes,14703,1094,182.0,240.0,0.0,Rural,N
Male,No,0.0,Graduate,No,7879,232,,180.0,1.0,Semiurban,Y
Female,No,1.0,Not Graduate,,3645,2716,15.0,360.0,1.0,Urban,Y
Male,Yes,2.0,Not Graduate,No,9089,94,120.0,120.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,7962,557,305.0,360.0,1.0,Urban,N
Female,Yes,0.0,Graduate,No,910,1976,148.0,180.0,1.0,Semiurban,Y
Male,No,1.0,Graduate,No,6002,202,41.0,180.0,1.0,Semiurban,Y
Female,Yes,0.0,Graduate,No,3343,740,62.0,360.0,1.0,Semiurban,Y
,No,0.0,Not Graduate,No,5374,1279,151.0,360.0,1.0,Rural,Y
Male,Yes,1.0,Graduate,No,13507,1198,177.0,360.0,1.0,Urban,Y
Male,Yes,2.0,Graduate,Yes,8213,721,133.0,300.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,8708,2302,147.0,360.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,5128,2404,135.0,360.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,8726,2018,91.0,300.0,1.0,Semiurban,Y
Female,Yes,0.0,Graduate,No,3930,882,135.0,300.0,1.0,Urban,Y
Male,Yes,1.0,Not Graduate,Yes,5967,1476,52.0,240.0,1.0,Urban,Y
Female,Yes,0.0,Not Graduate,No,8043,796,108.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,,7934,5774,171.0,360.0,1.0,Urban,Y
Female,No,2.0,Graduate,No,2660,1669,79.0,300.0,1.0,Semiurban,Y
Male,Yes,1.0,Not Graduate,No,12160,887,113.0,240.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,3570,5083,140.0,300.0,1.0,Semiurban,N
Male,No,3.0,Graduate,No,15911,981,296.0,360.0,1.0,Urban,N
Male,No,0.0,Graduate,Yes,8151,1621,212.0,180.0,1.0,Semiurban,Y
,Yes,0.0,Not Graduate,No,7839,2329,51.0,240.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,3721,825,332.0,360.0,1.0,Urban,N
Male,Yes,,Graduate,No,4416,774,251.0,360.0,1.0,Semiurban,Y
Male,Yes,2.0,Not Graduate,No,11714,2630,145.0,,1.0,Rural,Y
Male,Yes,0.0,Not Graduate,No,11023,2327,195.0,360.0,0.0,Urban,N
Female,No,,Not Graduate,No,5195,2322,85.0,180.0,1.0,Semiurban,N
Female,Yes,0.0,Graduate,No,4992,1866,128.0,360.0,1.0,Urban,Y
Female,Yes,2.0,Graduate,Yes,5060,4691,83.0,360.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,9117,1379,176.0,360.0,,Semiurban,N
Male,No,0.0,Not Graduate,No,8721,649,383.0,360.0,0.0,Urban,N
Female,Yes,3.0,Graduate,No,6667,437,105.0,180.0,0.0,Rural,N
Male,Yes,0.0,Graduate,No,5994,959,120.0,360.0,1.0,Urban,Y
Female,No,0.0,Not Graduate,No,5167,15,130.0,180.0,0.0,Urban,N
Female,Yes,,Graduate,No,15322,3336,108.0,300.0,1.0,Semiurban,Y
Female,Yes,3.0,Graduate,,2811,1786,171.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,4679,644,221.0,360.0,0.0,Semiurban,N
Male,No,0.0,Graduate,No,6459,2765,96.0,360.0,1.0,Urban,Y
Female,No,0.0,Graduate,Yes,2531,437,129.0,180.0,0.0,Rural,N
Male,No,1.0,Graduate,No,4277,549,183.0,360.0,1.0,Rural,Y
Male,No,0.0,Graduate,No,13427,1415,79.0,180.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,8460,3648,64.0,360.0,0.0,Rural,Y
Female,Yes,3.0,Graduate,No,4260,1771,95.0,180.0,1.0,Semiurban,N
Female,Yes,0.0,Graduate,No,4199,563,187.0,240.0,1.0,Urban,N
Male,Yes,0.0,Not Graduate,No,2821,658,76.0,300.0,1.0,Urban,N
Male,Yes,0.0,Graduate,No,4544,1554,98.0,360.0,1.0,Urban,Y
Male,No,0.0,Graduate,Yes,7207,342,130.0,240.0,0.0,Rural,N
Female,No,2.0,Not Graduate,No,6652,377,141.0,360.0,1.0,Urban,N
Male,No,0.0,Graduate,No,4657,1060,121.0,180.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,Yes,3545,2113,131.0,120.0,1.0,Urban,Y
Female,No,1.0,Not Graduate,No,5135,2224,55.0,300.0,0.0,Semiurban,Y
Female,No,0.0,Graduate,Yes,5083,1414,,360.0,1.0,Urban,Y
Female,Yes,1.0,Not Graduate,No,7972,2478,195.0,180.0,1.0,Rural,Y
Female,No,0.0,Graduate,No,6219,3998,89.0,180.0,1.0,Urban,Y
Male,Yes,2.0,Graduate,No,5843,863,,360.0,,Rural,Y
Male,Yes,3.0,Graduate,No,9479,326,136.0,300.0,1.0,Rural,Y
Female,Yes,1.0,Graduate,No,10977,956,185.0,360.0,1.0,Semiurban,N
Female,Yes,3.0,Not Graduate,Yes,6615,574,198.0,240.0,1.0,Urban,Y
Female,Yes,0.0,Graduate,Yes,6690,1855,226.0,360.0,1.0,Urban,Y
Female,No,0.0,Graduate,No,5301,447,260.0,300.0,1.0,Rural,N
Male,No,1.0,Graduate,No,3697,1232,77.0,360.0,0.0,Urban,Y
Male,No,1.0,Graduate,No,8257,575,,360.0,1.0,Urban,Y
Female,No,0.0,Graduate,No,7542,1022,105.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,5502,1290,74.0,360.0,1.0,Urban,Y
Female,No,0.0,Not Graduate,No,6228,2068,83.0,360.0,0.0,Urban,N
Female,Yes,0.0,Graduate,Yes,9195,1297,168.0,300.0,1.0,Semiurban,N
Female,Yes,0.0,Not Graduate,No,9888,796,219.0,240.0,1.0,Urban,Y
Male,Yes,2.0,Graduate,No,1434,2323,145.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Not Graduate,No,4126,1353,91.0,360.0,0.0,Semiurban,N
Male,Yes,0.0,Graduate,No,5494,864,149.0,120.0,1.0,Urban,Y
Male,Yes,,Graduate,No,3281,2107,188.0,360.0,1.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,6303,1565,55.0,,1.0,Urban,Y
Male,No,2.0,Not Graduate,No,4230,1981,110.0,360.0,1.0,Semiurban,Y
,Yes,1.0,Graduate,Yes,6400,2921,114.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,Yes,4291,474,119.0,360.0,1.0,Semiurban,N
Male,Yes,2.0,Graduate,No,4379,5797,80.0,120.0,1.0,Urban,Y
Male,No,1.0,Graduate,No,6378,1830,150.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,8419,451,158.0,360.0,1.0,Rural,Y
Female,Yes,1.0,Not Graduate,Yes,7345,3187,76.0,240.0,0.0,Urban,N
Male,Yes,3.0,Graduate,No,5516,723,245.0,360.0,1.0,Semiurban,N
Male,Yes,0.0,Not Graduate,No,2137,4047,66.0,360.0,1.0,Rural,Y
Male,Yes,0.0,Not Graduate,No,4328,505,89.0,300.0,1.0,Semiurban,Y
Female,Yes,0.0,Graduate,No,4106,1234,62.0,240.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,7748,2356,57.0,240.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,Yes,6018,2130,137.0,360.0,1.0,Rural,Y
Male,Yes,1.0,Graduate,No,6120,1702,89.0,360.0,,Semiurban,Y
Male,No,0.0,Not Graduate,No,3780,2684,199.0,360.0,1.0,Semiurban,Y
Male,Yes,3.0,Graduate,No,10067,910,80.0,300.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,6101,2792,89.0,,1.0,Rural,Y
Male,Yes,1.0,Not Graduate,No,3670,761,186.0,360.0,1.0,Semiurban,N
Female,No,2.0,Graduate,Yes,3798,3752,70.0,360.0,1.0,Urban,Y
Female,Yes,0.0,Graduate,No,6506,821,100.0,240.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,3603,378,243.0,360.0,1.0,Semiurban,N
Male,No,1.0,Graduate,No,4131,2156,25.0,360.0,1.0,Urban,Y
Female,Yes,2.0,Graduate,No,3202,1507,16.0,120.0,1.0,Rural,Y
Male,Yes,2.0,Not Graduate,No,7720,1724,55.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,3644,1014,265.0,360.0,1.0,Semiurban,N
Male,No,3.0,Graduate,No,10813,1914,159.0,300.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,Yes,6874,3525,150.0,360.0,1.0,Urban,Y
Female,No,2.0,Graduate,No,3196,1660,55.0,180.0,1.0,Semiurban,Y
Female,No,3.0,Graduate,No,7315,305,135.0,360.0,1.0,Rural,Y
Female,Yes,0.0,Not Graduate,No,10075,1322,77.0,180.0,1.0,Semiurban,Y
Male,Yes,2.0,Graduate,No,5406,1841,201.0,,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,10606,3922,206.0,360.0,1.0,Semiurban,N
Male,Yes,,Graduate,No,6933,2232,94.0,360.0,1.0,Urban,Y
Male,Yes,1.0,Graduate,No,4232,661,165.0,360.0,1.0,Urban,Y
Male,No,1.0,Graduate,Yes,13524,1274,154.0,360.0,1.0,Urban,Y
Female,No,3.0,Graduate,No,2782,2327,120.0,360.0,1.0,Urban,Y
Female,No,1.0,Graduate,No,4806,1946,78.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,5516,2037,100.0,360.0,1.0,Semiurban,Y
Female,No,2.0,Graduate,Yes,12476,386,,240.0,0.0,Urban,N
Female,No,3.0,Graduate,No,7801,2140,245.0,240.0,1.0,Rural,N
